pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
XLM-USDT,2025-01-16,2025-01-18,-0.675,-0.0558,15,range,2025-H1,time
LTC-USDT,2025-01-16,2025-01-18,1.587,0.0904,17,range,2025-H1,stop
SOL-USDT,2025-01-18,2025-01-20,0.844,0.0504,10,range,2025-H1,stop
LINK-USDT,2025-01-19,2025-01-22,0.403,0.0327,15,bull,2025-H1,time
AAVE-USDT,2025-01-20,2025-01-22,-0.155,-0.0168,15,bull,2025-H1,time
ETC-USDT,2025-01-24,2025-01-25,-1.066,-0.0682,6,bull,2025-H1,stop
LTC-USDT,2025-01-25,2025-01-27,-0.838,-0.0605,11,bull,2025-H1,regime
LTC-USDT,2025-01-30,2025-01-31,-0.154,-0.0112,9,bull,2025-H1,regime
ETC-USDT,2025-01-31,2025-01-31,0.153,0.0068,2,bull,2025-H1,regime
ETH-USDT,2025-01-31,2025-01-31,-0.686,-0.0283,1,bull,2025-H1,regime
LTC-USDT,2025-02-10,2025-02-10,-0.056,-0.0035,1,bear,2025-H1,regime
TRX-USDT,2025-02-10,2025-02-10,0.029,0.0010,1,bear,2025-H1,regime
LTC-USDT,2025-02-11,2025-02-11,-0.241,-0.0157,3,bear,2025-H1,regime
SHIB-USDT,2025-02-12,2025-02-13,-0.372,-0.0219,3,bear,2025-H1,regime
OP-USDT,2025-02-14,2025-02-16,-0.704,-0.0463,14,bear,2025-H1,signal
LTC-USDT,2025-02-14,2025-02-17,-0.507,-0.0372,15,bear,2025-H1,time
DOT-USDT,2025-02-14,2025-02-15,-1.054,-0.0608,6,bear,2025-H1,stop
APT-USDT,2025-02-20,2025-02-20,-1.044,-0.0773,2,bear,2025-H1,stop
XLM-USDT,2025-02-20,2025-02-21,-1.083,-0.0518,6,bear,2025-H1,stop
NEAR-USDT,2025-02-21,2025-02-21,-1.063,-0.0610,4,bear,2025-H1,stop
INJ-USDT,2025-02-21,2025-02-21,-1.078,-0.0668,1,bear,2025-H1,stop
APT-USDT,2025-03-02,2025-03-03,-1.053,-0.0739,2,bear,2025-H1,stop
BCH-USDT,2025-03-02,2025-03-03,-1.072,-0.0621,2,bear,2025-H1,stop
BCH-USDT,2025-03-03,2025-03-03,-0.825,-0.0571,1,bear,2025-H1,regime
BCH-USDT,2025-03-05,2025-03-08,1.047,0.0978,16,bear,2025-H1,regime
ETC-USDT,2025-03-07,2025-03-08,-0.522,-0.0316,2,bear,2025-H1,regime
LINK-USDT,2025-03-14,2025-03-15,-0.659,-0.0524,2,bear,2025-H1,signal
BTC-USDT,2025-03-14,2025-03-16,-0.729,-0.0300,11,bear,2025-H1,regime
ATOM-USDT,2025-03-14,2025-03-16,1.437,0.0832,10,bear,2025-H1,regime
CRV-USDT,2025-03-16,2025-03-16,-0.681,-0.0408,1,bear,2025-H1,regime
SHIB-USDT,2025-03-16,2025-03-17,-0.223,-0.0121,1,bear,2025-H1,regime
CRV-USDT,2025-03-17,2025-03-18,-0.077,-0.0049,7,bear,2025-H1,regime
ATOM-USDT,2025-03-18,2025-03-18,-0.177,-0.0088,1,bear,2025-H1,regime
XLM-USDT,2025-03-19,2025-03-21,-0.378,-0.0184,15,bear,2025-H1,time
CRV-USDT,2025-03-19,2025-03-20,-1.073,-0.0660,5,bear,2025-H1,stop
XRP-USDT,2025-03-19,2025-03-20,-1.056,-0.0555,6,bear,2025-H1,stop
SAND-USDT,2025-03-19,2025-03-20,-0.659,-0.0356,5,bear,2025-H1,signal
ATOM-USDT,2025-03-22,2025-03-23,-0.611,-0.0293,1,bear,2025-H1,regime
CRV-USDT,2025-03-22,2025-03-23,-0.226,-0.0127,1,bear,2025-H1,regime
CRV-USDT,2025-03-23,2025-03-28,1.702,0.1044,27,bear,2025-H1,regime
AVAX-USDT,2025-03-24,2025-03-27,0.670,0.0292,19,bear,2025-H1,stop
AAVE-USDT,2025-03-24,2025-03-26,-0.988,-0.0441,11,bear,2025-H1,signal
UNI-USDT,2025-03-24,2025-03-26,-1.099,-0.0435,13,range,2025-H1,stop
APT-USDT,2025-03-25,2025-03-26,-1.101,-0.0427,10,range,2025-H1,stop
NEAR-USDT,2025-03-25,2025-03-28,-0.375,-0.0156,15,range,2025-H1,time
DOGE-USDT,2025-03-26,2025-03-27,-1.054,-0.0549,7,range,2025-H1,stop
SUI-USDT,2025-03-27,2025-03-28,-0.328,-0.0176,8,range,2025-H1,regime
DOGE-USDT,2025-04-01,2025-04-01,-0.340,-0.0192,1,bull,2025-H1,regime
SUI-USDT,2025-04-01,2025-04-01,-0.418,-0.0313,1,bull,2025-H1,regime
ALGO-USDT,2025-04-02,2025-04-02,-1.092,-0.0642,1,range,2025-H1,stop
CRV-USDT,2025-04-02,2025-04-02,-1.040,-0.0905,1,range,2025-H1,stop
DOGE-USDT,2025-04-02,2025-04-02,-1.049,-0.0602,1,range,2025-H1,stop
BCH-USDT,2025-04-09,2025-04-10,-1.059,-0.0804,4,bear,2025-H1,stop
CRV-USDT,2025-04-09,2025-04-10,-0.529,-0.0584,5,bear,2025-H1,regime
MANA-USDT,2025-04-11,2025-04-15,1.981,0.1360,28,bear,2025-H1,stop
AVAX-USDT,2025-04-11,2025-04-14,0.537,0.0367,15,bear,2025-H1,time
BCH-USDT,2025-04-12,2025-04-14,-1.067,-0.0660,12,range,2025-H1,stop
CRV-USDT,2025-04-16,2025-04-18,-1.047,-0.0893,8,range,2025-H1,stop
MANA-USDT,2025-04-18,2025-04-20,-0.460,-0.0263,13,bull,2025-H1,regime
BCH-USDT,2025-04-18,2025-04-20,-0.526,-0.0260,11,bull,2025-H1,regime
AVAX-USDT,2025-04-19,2025-04-20,-0.970,-0.0397,4,bull,2025-H1,regime
DOT-USDT,2025-04-20,2025-04-20,-0.727,-0.0254,2,bull,2025-H1,regime
NEAR-USDT,2025-04-21,2025-04-22,-1.078,-0.0480,6,bull,2025-H1,stop
MANA-USDT,2025-04-21,2025-04-23,0.452,0.0250,15,bull,2025-H1,time
XLM-USDT,2025-04-21,2025-04-21,-1.118,-0.0402,1,bull,2025-H1,stop
BCH-USDT,2025-04-21,2025-04-22,0.845,0.0308,7,bull,2025-H1,signal
LINK-USDT,2025-04-22,2025-04-23,0.380,0.0171,2,bull,2025-H1,signal
BTC-USDT,2025-04-22,2025-04-23,0.939,0.0221,3,bull,2025-H1,signal
CRV-USDT,2025-04-22,2025-04-23,-0.060,-0.0043,4,bull,2025-H1,signal
SOL-USDT,2025-04-22,2025-04-25,1.407,0.0618,17,bull,2025-H1,signal
INJ-USDT,2025-04-23,2025-04-27,1.049,0.0579,26,bull,2025-H1,stop
AAVE-USDT,2025-04-23,2025-04-26,0.197,0.0098,15,bull,2025-H1,time
SUI-USDT,2025-04-24,2025-04-30,2.085,0.1634,37,bull,2025-H1,stop
GRT-USDT,2025-04-24,2025-04-27,1.137,0.0574,17,bull,2025-H1,stop
CRV-USDT,2025-04-30,2025-05-03,0.281,0.0196,15,bull,2025-H1,time
INJ-USDT,2025-05-01,2025-05-03,-1.080,-0.0643,10,bull,2025-H1,stop
AAVE-USDT,2025-05-01,2025-05-04,-0.058,-0.0033,15,bull,2025-H1,time
BCH-USDT,2025-05-07,2025-05-07,-1.095,-0.0484,4,bull,2025-H1,stop
BTC-USDT,2025-05-07,2025-05-09,2.904,0.0603,15,bull,2025-H1,signal
LTC-USDT,2025-05-07,2025-05-11,1.987,0.1028,27,bull,2025-H1,stop
BCH-USDT,2025-05-08,2025-05-09,1.092,0.0577,10,bull,2025-H1,signal
ETH-USDT,2025-05-08,2025-05-12,6.149,0.2204,27,bull,2025-H1,stop
AAVE-USDT,2025-05-08,2025-05-12,2.154,0.1308,24,bull,2025-H1,stop
SUI-USDT,2025-05-09,2025-05-09,-0.488,-0.0324,4,bull,2025-H1,signal
DOGE-USDT,2025-05-10,2025-05-12,-0.210,-0.0126,14,bull,2025-H1,stop
INJ-USDT,2025-05-12,2025-05-12,-1.053,-0.0713,2,bull,2025-H1,stop
ETH-USDT,2025-05-13,2025-05-15,-1.039,-0.0670,8,bull,2025-H1,stop
AAVE-USDT,2025-05-16,2025-05-17,-0.776,-0.0543,6,bull,2025-H1,regime
DOGE-USDT,2025-05-18,2025-05-18,-1.045,-0.0668,1,bull,2025-H1,stop
AAVE-USDT,2025-05-20,2025-05-22,0.321,0.0258,15,bull,2025-H1,time
BTC-USDT,2025-05-21,2025-05-24,-0.307,-0.0081,15,bull,2025-H1,time
BCH-USDT,2025-05-22,2025-05-24,0.090,0.0041,15,bull,2025-H1,stop
CRV-USDT,2025-05-22,2025-05-24,-0.593,-0.0479,15,bull,2025-H1,time
TRX-USDT,2025-05-22,2025-05-23,-1.100,-0.0327,3,bull,2025-H1,stop
DOGE-USDT,2025-05-23,2025-05-23,-1.048,-0.0631,1,bull,2025-H1,stop
AAVE-USDT,2025-05-24,2025-05-25,-0.429,-0.0317,6,bull,2025-H1,regime
UNI-USDT,2025-05-27,2025-05-28,0.100,0.0065,8,bull,2025-H1,regime
INJ-USDT,2025-05-27,2025-05-28,-0.112,-0.0082,7,bull,2025-H1,regime
OP-USDT,2025-05-27,2025-05-28,-0.243,-0.0154,7,bull,2025-H1,regime
AAVE-USDT,2025-06-03,2025-06-03,-0.114,-0.0061,1,bull,2025-H1,regime
BTC-USDT,2025-06-03,2025-06-03,-0.312,-0.0062,1,bull,2025-H1,regime
ETH-USDT,2025-06-03,2025-06-03,-0.054,-0.0020,1,bull,2025-H1,regime
UNI-USDT,2025-06-03,2025-06-03,-0.168,-0.0118,1,bull,2025-H1,regime
BCH-USDT,2025-06-07,2025-06-10,1.146,0.0414,17,bull,2025-H1,signal
XRP-USDT,2025-06-08,2025-06-10,0.307,0.0090,11,range,2025-H1,signal
BTC-USDT,2025-06-09,2025-06-10,0.849,0.0142,4,range,2025-H1,signal
AAVE-USDT,2025-06-09,2025-06-12,3.283,0.1255,16,range,2025-H1,stop
UNI-USDT,2025-06-10,2025-06-12,2.420,0.1249,13,range,2025-H1,stop
SAND-USDT,2025-06-10,2025-06-11,-1.084,-0.0422,8,range,2025-H1,stop
BCH-USDT,2025-06-16,2025-06-17,-0.222,-0.0111,2,bull,2025-H1,regime
ETH-USDT,2025-06-16,2025-06-17,-0.934,-0.0358,2,bull,2025-H1,regime
UNI-USDT,2025-06-16,2025-06-17,-0.788,-0.0539,2,bull,2025-H1,regime
XRP-USDT,2025-06-16,2025-06-17,-0.853,-0.0256,2,bull,2025-H1,regime
BCH-USDT,2025-06-17,2025-06-17,-0.256,-0.0133,1,bull,2025-H1,regime
BTC-USDT,2025-06-24,2025-06-26,0.512,0.0162,15,bear,2025-H1,time
XRP-USDT,2025-06-24,2025-06-26,0.054,0.0028,15,bear,2025-H1,time
APT-USDT,2025-06-24,2025-06-29,0.086,0.0065,26,bear,2025-H1,stop
ALGO-USDT,2025-06-24,2025-06-26,-1.063,-0.0562,10,bear,2025-H1,stop
BCH-USDT,2025-06-25,2025-06-29,0.591,0.0345,28,range,2025-H1,signal
OP-USDT,2025-06-30,2025-06-30,-1.080,-0.0551,3,range,2025-H1,stop
